aggregation_number,diffusion_coefficient,diffusion_error,r_squared,slope,intercept,n_points
1,0.08536186777005365,0.010093811731164174,0.7583212991041535,0.5121712066203219,3.6204032458952042,225
2,0.06062121281391144,0.008998344755342244,0.5111800734458796,0.3637272768834686,-8.841819343029215,168
3,0.041046313465213334,0.0030366149371814197,0.4480810366003394,0.24627788079128002,12.200389282857117,392
4,0.043748309481505744,0.0032915105293024414,0.5593147037547803,0.2624898568890345,-3.660597765261187,207
5,0.02870337775926045,0.0010991063215545962,0.5841934931515956,0.1722202665555627,6.2695545195830675,328
6,0.024397812594793053,0.001165095827215355,0.6438349853250027,0.14638687556875832,6.277812770155549,208
7,0.02234076702738216,0.00015545976419875974,0.7258999184882253,0.13404460216429295,-1.1793581622172127,747
8,0.029752710257267112,0.007001039804016289,0.9073647428897533,0.17851626154360267,-0.9466388842047877,35
9,0.022173225387391558,0.0015913439442522966,0.6515622350160696,0.13303935232434935,4.364347434750712,63
10,0.01794146171185173,0.00028414548762623965,0.6946150475511961,0.10764877027111037,0.9140603346082301,312
12,0.01537235059552229,8.902276878119512e-05,0.7574824281383613,0.09223410357313373,2.217494762529846,731
13,0.016042264179249175,0.003396623790296915,0.6236293438936893,0.09625358507549506,6.522774746341902,67
14,0.021134222617972515,0.004698121091102827,0.985888714541796,0.1268053357078351,-5.4819222504156215,11
16,0.012865476834698193,0.0001261967199684401,0.8008058249949933,0.07719286100818916,-0.19347014647586747,214
18,0.011618002726832185,0.0003888160621582312,0.7653321211915518,0.06970801636099311,3.9740794951706278,119
22,0.010027485985726562,0.0015289085259868977,0.9327418007665423,0.06016491591435937,17.35947861577418,13
23,0.012251255322367037,8.690983854752995e-05,0.7022068271686877,0.07350753193420222,-2.498022903565275,193
26,0.00978844485620684,6.655030016725834e-05,0.7190240260027858,0.058730669137241044,1.7925618732272355,371
30,0.008617110794288034,7.087957352486803e-05,0.8664487314092792,0.0517026647657282,2.334666136877381,136
34,0.010373503188835944,0.016343593328444386,0.6300113034354572,0.06224101913301566,6.787610012156222,14
36,0.0088697979891481,9.264041299069661e-05,0.7272520559875049,0.05321878793488861,1.1522235089062072,188
37,0.010061153251512502,0.0001251472194586107,0.6619682353793164,0.06036691950907501,-3.2584170907264074,104
39,0.012190021111890026,0.00012897586794747122,0.9905555386118424,0.07314012667134015,-3.234422626417288,16
46,0.009037897928353881,4.102283898441778e-05,0.7340741374789543,0.05422738757012329,-2.596496410132424,145
59,0.006582584309043013,2.8783119634026944e-05,0.8130244640017809,0.03949550585425808,-0.2948464956417709,192
72,0.005790467444464961,5.620397267592028e-05,0.6882834228909572,0.034742804666789764,1.2813409188702103,348
109,0.004756527630479303,2.3755090826287703e-05,0.8149178028749843,0.02853916578287582,0.7739245484789716,166
168,0.003545565142105588,1.6271226217379017e-05,0.9565746657357189,0.021273390852633526,0.9314135256547669,31
180,0.003920445194049335,1.4864717341291302e-06,0.8200352361659726,0.023522671164296006,0.07525149161528155,1470
