aggregate_id,aggregation_number,delta_t,sd,n_samples
237,2,600.0,75.71711924675975,2
237,2,900.0,243.08550072350218,1
238,2,300.0,114.0611345909246,3
238,2,600.0,267.14400108647976,2
238,2,900.0,476.11947377822594,1
244,5,300.0,116.37890830438045,1
253,1,300.0,137.25015698496827,30
253,1,600.0,315.45751315381096,29
253,1,900.0,493.59558980049354,28
253,1,1200.0,632.749557918658,27
253,1,1500.0,802.8896511243336,26
253,1,1800.0,1024.9228469359412,25
253,1,2100.0,1265.0666812591573,24
253,1,2400.0,1484.362675331922,23
254,1,300.0,149.38061761094573,30
254,1,600.0,284.75933520721486,29
254,1,900.0,383.5835891429824,28
254,1,1200.0,554.5507570123519,27
254,1,1500.0,743.93301037758,26
254,1,1800.0,870.2296316966322,25
254,1,2100.0,999.3020162957905,24
254,1,2400.0,1152.5515335252533,23
255,6,300.0,63.56833508404108,30
255,6,600.0,127.52947327221847,29
255,6,900.0,183.26076219399738,28
255,6,1200.0,243.747122629485,27
255,6,1500.0,306.43556190650816,26
255,6,1800.0,367.9171537817435,25
255,6,2100.0,405.9398340071807,24
255,6,2400.0,481.57245640070875,23
256,1,300.0,151.47353223740248,30
256,1,600.0,336.65958887317316,29
256,1,900.0,545.7282647167734,28
256,1,1200.0,731.987021359343,27
256,1,1500.0,857.7140176461866,26
256,1,1800.0,957.4932844603347,25
256,1,2100.0,1101.775991174865,24
256,1,2400.0,1203.1660729392386,23
257,33,300.0,25.582590739070444,14
257,33,600.0,38.605635657472334,13
257,33,900.0,53.25001684844235,12
257,33,1200.0,45.48128082693688,11
257,33,1500.0,50.5731280476248,10
257,33,1800.0,48.88252546789809,9
257,33,2100.0,57.27194864885937,8
257,33,2400.0,75.4492993758549,7
258,13,300.0,53.27982821288474,10
258,13,600.0,140.87795089484533,9
258,13,900.0,193.2118511289141,8
258,13,1200.0,186.14168778309414,7
258,13,1500.0,196.2149103628907,6
258,13,1800.0,268.8940244632998,5
258,13,2100.0,400.97302104198724,4
258,13,2400.0,401.64536285934355,3
259,3,300.0,87.36998565800087,1
265,4,300.0,59.833071646822525,13
265,4,600.0,124.40851680834493,12
265,4,900.0,170.9027029593306,11
265,4,1200.0,260.2932655807096,10
265,4,1500.0,401.3234890517295,9
265,4,1800.0,548.3883315888313,8
265,4,2100.0,713.44945199829,7
265,4,2400.0,904.9667070383049,6
274,1,300.0,145.7502775340055,30
274,1,600.0,312.3760296309208,29
274,1,900.0,430.9315845739452,28
274,1,1200.0,533.918230304461,27
274,1,1500.0,636.7544885403394,26
274,1,1800.0,774.3950406144412,25
274,1,2100.0,914.7667291857414,24
274,1,2400.0,1067.4696992413988,23
275,4,300.0,65.06962968728753,7
275,4,600.0,183.96239655190513,6
275,4,900.0,312.2593253236507,5
275,4,1200.0,368.4286768314624,4
275,4,1500.0,388.28025183022027,3
275,4,1800.0,431.31059625010164,2
275,4,2100.0,452.6760217990353,1
276,2,300.0,64.72750890539473,6
276,2,600.0,125.5137449007296,5
276,2,900.0,119.19266381751677,4
276,2,1200.0,75.32506163589414,3
276,2,1500.0,15.645925524156128,2
276,2,1800.0,66.71273842927765,1
277,3,300.0,73.31522800389936,4
277,3,600.0,158.08878540152062,3
277,3,900.0,288.8919041010158,2
277,3,1200.0,248.09318593657662,1
281,12,300.0,46.66390108489806,5
281,12,600.0,29.209654666856906,4
281,12,900.0,73.09471741471678,3
281,12,1200.0,71.3963534132948,2
281,12,1500.0,155.24899398525227,1
282,5,300.0,31.843849378184643,3
282,5,600.0,36.25336149583238,2
282,5,900.0,10.647480855389695,1
283,5,300.0,80.02603400926563,2
283,5,600.0,277.24315048894493,1
284,6,300.0,49.0383129954809,1
289,6,300.0,51.52252027337448,19
289,6,600.0,88.09963781651017,18
289,6,900.0,113.62359063256169,17
289,6,1200.0,141.03748620147942,16
289,6,1500.0,191.19267663973076,15
289,6,1800.0,209.30651944943102,14
289,6,2100.0,198.0384972799749,13
289,6,2400.0,237.07143344361316,12
290,2,300.0,65.41143441404589,3
290,2,600.0,72.58476719276457,2
290,2,900.0,93.62199284024743,1
303,4,300.0,59.358718485213465,16
303,4,600.0,123.73267316107243,15
303,4,900.0,189.75084259476142,14
303,4,1200.0,245.90890934965248,13
303,4,1500.0,263.7686600538271,12
303,4,1800.0,264.12918599694524,11
303,4,2100.0,246.0205350846531,10
303,4,2400.0,248.81205434011704,9
304,2,300.0,156.82043384645021,4
304,2,600.0,196.27632665586125,3
304,2,900.0,278.7868095552526,2
304,2,1200.0,619.8426430427037,1
305,6,300.0,91.43432636700068,1
308,6,300.0,32.95655588465871,1
316,3,300.0,67.94772026275498,5
316,3,600.0,101.41438226448508,4
316,3,900.0,151.72951469333734,3
316,3,1200.0,156.53265937950232,2
316,3,1500.0,361.30464808370243,1
317,5,300.0,58.657171175654845,3
317,5,600.0,154.39031823339656,2
317,5,900.0,174.69352813048732,1
319,6,300.0,49.5190058323025,12
319,6,600.0,72.15503434219536,11
319,6,900.0,73.4794862795315,10
319,6,1200.0,116.6678086829545,9
319,6,1500.0,152.42189300855694,8
319,6,1800.0,155.81564873686605,7
319,6,2100.0,207.78733713305428,6
319,6,2400.0,262.99644378769295,5
320,3,300.0,54.16501382155012,7
320,3,600.0,90.95616726398111,6
320,3,900.0,119.63836597264765,5
320,3,1200.0,152.93861953904837,4
320,3,1500.0,141.57831521122597,3
320,3,1800.0,170.49244690360345,2
320,3,2100.0,193.79405818142786,1
321,4,300.0,58.31257547192693,3
321,4,600.0,203.0923389447259,2
321,4,900.0,360.85768800823575,1
326,5,300.0,55.165247633218996,33
326,5,600.0,105.10959239026579,32
326,5,900.0,185.52662651778974,31
326,5,1200.0,282.03588882889693,30
326,5,1500.0,406.82819815568695,29
326,5,1800.0,532.2045488973087,28
326,5,2100.0,701.9479716101131,27
326,5,2400.0,869.8242892852794,26
327,34,300.0,46.71737729115925,9
327,34,600.0,76.28367384585702,8
327,34,900.0,74.52686316008683,7
327,34,1200.0,98.6552600785884,6
327,34,1500.0,109.93333662955725,5
327,34,1800.0,158.42840597719703,4
327,34,2100.0,198.7612483225887,3
327,34,2400.0,145.0190727933719,2
328,3,300.0,76.62616630989065,9
328,3,600.0,160.34652345087054,8
328,3,900.0,250.78110264802038,7
328,3,1200.0,294.17875883987875,6
328,3,1500.0,381.7240500042406,5
328,3,1800.0,446.54843025140553,4
328,3,2100.0,549.6592614243672,3
328,3,2400.0,793.0602035430572,2
335,1,300.0,262.528985350657,2
335,1,600.0,683.3376213695074,1
336,1,300.0,219.74588031021742,2
336,1,600.0,665.1783584789301,1
337,3,300.0,30.245393403631432,1
344,1,300.0,170.37748866469042,39
344,1,600.0,320.6557935126222,38
344,1,900.0,471.970256527508,37
344,1,1200.0,652.3494694458391,36
344,1,1500.0,819.2108873471944,35
344,1,1800.0,1026.0146069301402,34
344,1,2100.0,1210.4381635652544,33
344,1,2400.0,1433.7281974223854,32
345,1,300.0,132.36505017151381,39
345,1,600.0,296.7227947848485,38
345,1,900.0,435.35831063429225,37
345,1,1200.0,589.8946995730818,36
345,1,1500.0,748.8856108810353,35
345,1,1800.0,899.2764174145256,34
345,1,2100.0,989.5655079936759,33
345,1,2400.0,1101.6610204167414,32
346,6,300.0,95.71860274549998,4
346,6,600.0,97.26246571500853,3
346,6,900.0,96.82935384582046,2
346,6,1200.0,136.63321686073763,1
347,7,300.0,26.018968315296476,4
347,7,600.0,75.74757907458708,3
347,7,900.0,127.65650960357866,2
347,7,1200.0,110.59999015784281,1
351,5,300.0,72.97554094437761,38
351,5,600.0,141.7471962278194,37
351,5,900.0,206.38997094628246,36
